scorer,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,0.9145133840137946,1.0,0.9956610399850166,1.0,1.72243791151924,1.0,1.3691774968825074,1.0,1.1281587698362177,1.0,0.961757389686595,1.0,1.2151711848538207,1.0,1.270588741108028,1.0,0.7827700960143028,1.0,0.7436551645695493,1.0,0.25971388611228124,1.0,0.6007418483137742,1.0
1,1.0934615293914438,1.0,1.589867276923934,1.0,1.632449561784305,1.0,0.18463883947909546,1.0,1.2745955978214167,1.0,1.083457821209605,1.0,1.0339871360462487,1.0,0.7889646590861501,1.0,0.5882022170590867,1.0,0.6910380669827326,1.0,0.6923918742074578,1.0,0.882139803742915,1.0
2,1.1095436157287324,1.0,1.7996681287813343,1.0,2.4529840330239034,1.0,0.9920964748530651,1.0,1.2477848777219702,1.0,0.9495244824494568,1.0,0.9078190425679629,1.0,0.3264753466021202,1.0,1.020336473294187,1.0,0.41777826287737174,1.0,0.8407029053095966,1.0,1.0532511022950202,1.0
3,1.1523164980037286,1.0,1.637236788904679,1.0,2.604922204461676,1.0,0.7943063312712615,1.0,1.2977967147683942,1.0,0.9742373548536049,1.0,1.1432939147852303,1.0,0.5115285645875255,1.0,1.1317100535837117,1.0,0.8183407284649414,1.0,1.0376109038819938,1.0,1.1851222945588527,1.0
4,1.1567448692045172,1.0,1.2028664145950925,1.0,2.3219433226245005,1.0,1.3733896946450088,1.0,1.3650979325586619,1.0,1.0853586450603263,1.0,1.006729648174029,1.0,0.30277523712960275,1.0,1.0496956620185087,1.0,1.205115181504569,1.0,1.223918340238012,1.0,0.5736106398850381,1.0
5,1.0765516785782787,1.0,0.8547911251928904,1.0,2.1867672504946656,1.0,1.1465162548961052,1.0,1.304622018284663,1.0,1.0848785620355035,1.0,0.922782293751363,1.0,0.4874217217103119,1.0,1.1677210429003853,1.0,1.1188809891277312,1.0,1.2987174963437098,1.0,0.4110180225622417,1.0
6,1.1516160800159343,1.0,0.7853703907732584,1.0,2.578672413418895,1.0,1.6775543991653634,1.0,1.3587724235576932,1.0,1.1606974464499502,1.0,1.0683551033078624,1.0,0.3504674128929968,1.0,1.2912082426750755,1.0,1.2982762894860005,1.0,1.6848026000603025,1.0,0.6612997018247193,1.0
7,1.1197939050095804,1.0,0.39352271716567144,1.0,3.35983125732284,1.0,1.8884322435754852,1.0,1.3317537957455887,1.0,1.136764956921041,1.0,1.010486388220807,1.0,0.3116645986153844,1.0,1.1393694050748373,1.0,1.3515973046369414,1.0,1.6984180271740708,1.0,0.8755979390543053,1.0
8,1.1303469224478093,1.0,1.4115381435824106,1.0,3.342433693327385,1.0,0.9009208717389695,1.0,1.2752370768010972,1.0,1.121148007290393,1.0,0.9925491338835656,1.0,0.49206785160717254,1.0,1.0731203753145249,1.0,1.5222558694096462,1.0,1.6845673125633565,1.0,0.9362046885048402,1.0
9,1.1339143697386118,1.0,2.3553452855190384,1.0,2.75299682341771,1.0,0.5669348408227316,1.0,1.2389483463818403,1.0,0.9897750872397387,1.0,1.1292598887799934,1.0,0.2303692905879991,1.0,1.204599309947396,1.0,1.8346171260859614,1.0,1.180901993137657,1.0,0.9773991255027785,1.0
10,0.9912062682706807,1.0,1.6175062971767857,1.0,0.9663328932965987,1.0,1.2883963290255773,1.0,1.189496365694887,1.0,0.8538489652469166,1.0,0.9978583817880483,1.0,0.34800502617280354,1.0,1.258451626808629,1.0,2.1604011727193844,1.0,1.0520055371264208,1.0,0.568093810172512,1.0
11,1.0875410108329202,1.0,1.5353376730938335,1.0,2.0235429265299287,1.0,2.077083739632169,1.0,1.0971509659955396,1.0,2.2916209094276954,1.0,0.9390119075495649,1.0,0.22311459593121555,1.0,1.494888999725551,1.0,1.2174763901206542,1.0,0.5986150135351412,1.0,0.8557770221976606,1.0
12,0.9840139948396882,1.0,0.8999494011336931,1.0,2.3985446679076006,1.0,1.5985036437805276,1.0,1.1796336182323766,1.0,0.7838933320933698,1.0,1.3537174398328682,1.0,0.6744776354003393,1.0,1.3063304236542277,1.0,0.9492503681562883,1.0,0.5540729374018862,1.0,0.591474869366666,1.0
13,0.8616528913235846,1.0,1.437788721170617,1.0,1.0516094702285699,1.0,1.7308897698265584,1.0,1.0481498995427567,1.0,2.043628838861076,1.0,0.5753580657740036,1.0,1.0104687325106287,1.0,0.9194444014481101,1.0,0.9816494367528923,1.0,1.948171726593133,1.0,1.2655331383148622,1.0
14,0.8859607900649675,1.0,0.7549380306834398,1.0,0.43576316693887296,1.0,0.6282755572972759,1.0,0.9969299666455381,1.0,1.8829350719025566,1.0,0.33438204376650543,1.0,1.176935295903152,1.0,0.933245656478366,1.0,1.1242066774345014,1.0,4.159802410976393,1.0,2.3320880126921018,1.0
15,0.9328362701375248,1.0,1.0415941167900356,1.0,1.3297965844937436,1.0,0.538172244837881,1.0,0.8822712450965394,1.0,0.21049940637365136,1.0,1.3305427005096406,1.0,1.6606314176397141,1.0,2.240863189588834,1.0,1.4926539673443138,1.0,0.8433520226535707,1.0,1.5507493266017958,1.0
