scorer,,,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,,,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,blue01-train-2022-05-06-19.51.18,img0000.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.5272505538647,71.80700113617925,187.19965735536238,90.13008647699186,186.89707429468842,108.04972773690602,186.22466749319074,125.96936899681992,185.6867420519925,147.38552562452224,184.87985389019542,163.45604818031757,183.2996979066757,181.67827250090556,182.86263348570213,194.31952036906256,182.31798397648907,205.96560617100295,178.8281926767159,219.19857202447793
labeled-data,blue01-train-2022-05-06-19.51.18,img0300.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.00868149627905,71.85823853445342,187.13643878856362,90.0333943789366,186.8338557278896,108.11441327121014,186.4035153749311,125.59026604213562,185.63921297722862,147.1162491140824,184.9712888877409,163.25177099402248,183.25216883191183,181.77433701927947,182.68062305063864,194.65540997997078,182.01269896115105,206.01236085726714,178.85911106212677,219.18705145461234
labeled-data,blue01-train-2022-05-06-19.51.18,img0600.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.88092420399448,71.85823853445342,187.00868149627905,90.0333943789366,186.57834114332059,107.98665597892546,186.2255396608461,125.12368296257648,184.96033201891055,147.18205532638893,184.01067452264624,163.13015501719167,182.7088949549467,181.4913434100892,181.2744271117516,194.68844756748427,180.4137464058345,206.16419031304514,177.54481071944423,219.07440090180125
labeled-data,blue01-train-2022-05-06-19.51.18,img0900.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.76370521243427,71.90918067789406,186.76370521243416,89.93997604051819,186.30722938046904,107.97077140314241,185.6225156325213,125.0886151018363,184.3800334622684,147.11140778511168,183.35797512399188,163.12365508477717,181.9952306729565,181.52070517375455,180.97317233468004,194.46677745859063,180.29180010916224,206.0501052923912,176.8849389815739,219.336863689986
labeled-data,blue01-train-2022-05-06-19.51.18,img1200.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.72958364399483,71.75892404987223,186.72958364399483,89.8959768422705,186.19614091480668,108.03302963466882,185.66269818561835,125.10319696869078,184.0623699980539,146.97434886540634,182.46204181048932,162.97763074105188,180.86171362292475,181.11468353345032,179.26138543536024,194.45075176315498,178.19449997698382,205.6530490761068,174.99384360185468,218.98911730581148
labeled-data,blue01-train-2022-05-06-19.51.18,img1500.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.72958364399489,71.75892404987218,186.72958364399483,89.89597684227053,186.19614091480662,108.0330296346688,185.6626981856184,125.10319696869072,184.0623699980539,146.97434886540634,182.46204181048932,162.977630741052,180.8617136229248,181.11468353345026,179.26138543536024,194.45075176315487,178.19449997698376,205.65304907610675,174.46040087266658,218.98911730581142
labeled-data,blue01-train-2022-05-06-19.51.18,img1800.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.97398950786408,71.61834620123906,186.97398950786408,89.78901933371225,186.16037727805184,107.95969246618546,185.3467650482396,124.77434521563828,183.71954058861513,146.7418754205686,182.39206387431835,162.68954925373038,180.24036210952568,180.97901425446804,178.35762306533212,194.15818756382328,176.74384674173757,205.72358454958402,174.0542195357467,218.90275785893908
labeled-data,blue01-train-2022-05-06-19.51.18,img2100.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.80269891823355,71.70710389903675,187.04700672277778,90.03018923984948,186.06977550460107,107.86465897157382,185.29650768287866,124.92586088157583,183.1380818500711,146.7095998940967,181.41520135920456,162.68304932131576,179.17384535421223,180.8940668618789,176.9324893492198,194.062033391209,174.9713028448515,205.82915241741904,171.60926883736295,218.99711894674925
labeled-data,blue01-train-2022-05-06-19.51.18,img2400.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.80380446708307,71.7490844970103,187.0301814235873,89.85924101734867,186.35105055407467,107.74302058118283,185.63381663247708,124.98577232758919,182.9608068399072,146.59672520568512,180.95703457144407,162.62690335339067,178.28533821349316,180.6608537695593,175.6136418555422,193.68537351457007,172.94194549759135,206.041969170093,169.60232505015267,218.06460278087218
labeled-data,blue01-train-2022-05-06-19.51.18,img2700.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,186.94401025061939,71.72205374359018,187.21297297121845,90.01151874432793,186.40608480942126,107.76305830386755,185.33023392702484,124.70770970160999,182.37164400043486,146.22472734953686,179.88698431838867,162.85242859461306,176.74908591139933,180.4246596737533,174.23876718580777,193.29004314240956,170.4732890974206,205.52784692966793,166.70781100903343,217.1380710355284
labeled-data,blue01-train-2022-05-06-19.51.18,img3000.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.18665608968587,71.83253018107615,187.45561881028488,89.89785958131469,186.2004594474891,107.78388050115385,185.25908992539235,124.72853189889628,181.49361183700518,146.38003090712266,178.35571343001584,163.01089246416603,174.60676926453857,179.693170727964,171.5002498416191,192.341142664136,166.84047070723994,205.43290308929642,161.29311459488378,216.97140380299714
labeled-data,blue01-train-2022-05-06-19.51.18,img3300.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.52103614732465,72.28804096197078,187.7765507318938,89.98130526538057,186.30846254862382,107.8538780491898,185.17209505409267,124.84559792303702,181.03903458088678,147.205365428841,177.129190191879,162.82539784119285,172.70475343802406,179.25902006979697,167.9642854874652,191.58423674124998,162.9077863402024,204.54151580611102,156.27113120941993,216.55070128086015
labeled-data,blue01-train-2022-05-06-19.51.18,img3600.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.1605342061257,72.53030913255037,187.87328541571327,90.11150563571059,185.97261552347976,107.45511840234161,184.78469684083382,124.32356369591423,180.69417114087355,146.9285131351043,176.4243879513631,162.584384829976,170.7313436986824,178.52490873748178,165.32295165863582,191.33425830601323,159.06060298068712,203.5743034492766,152.79825430273843,215.52969637990594
labeled-data,blue01-train-2022-05-06-19.51.18,img3900.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.54045077303988,72.19970912181395,188.15458231840785,89.3953923921155,185.39099036425222,107.20520720778492,183.24152995546456,124.09382470540248,177.40728027446931,146.8166918840152,172.4347753831546,161.34370462697257,164.72226936997578,176.02234510366765,158.00492542301367,188.46187093137536,149.7948383767266,199.9062346928664,142.08233236354783,211.59938897091166
labeled-data,blue01-train-2022-05-06-19.51.18,img4200.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.75158146565911,71.99285437611331,188.31640317891726,88.93750577385569,185.49229461262672,107.0118005981142,183.2330077595945,124.23886285248557,175.60791463061042,145.98449881292163,168.75866632241554,159.14551713863625,158.9953195646687,172.9769250454442,149.503176883526,184.3674962628155,139.4686260491751,194.94445525037452,128.620462985012,205.7926183145376
labeled-data,blue01-train-2022-05-06-19.51.18,img4500.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.96905743712858,72.15947678152435,188.36129473800224,89.02568071909204,185.2233963310129,107.06859655928065,180.12431141965516,124.32703779772197,168.3571923934453,142.36995363791067,150.70651385413026,154.9215472658679,135.0170218191837,162.37405598246755,120.89647898773171,167.08090359295159,108.73712266064805,169.43432739819355,96.97000363443806,171.78775120343556
labeled-data,blue01-train-2022-05-06-19.51.18,img4511.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.96905743712858,72.1594767815244,188.7535320388759,89.02568071909204,185.2233963310129,107.06859655928065,180.51654872052887,124.71927509859563,167.96495509257153,142.3699536379106,150.31427655325672,154.13707266412058,134.62478451830998,161.19734407984657,120.11200438598433,165.51195438945695,107.16817345715339,167.47314089382525,95.40105443094342,169.04209009731994
labeled-data,blue01-train-2022-05-06-19.51.18,img4650.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.36129473800224,71.76723948065074,188.7535320388759,89.02568071909204,185.2233963310129,107.06859655928068,178.16312491528686,124.32703779772191,162.4736328803403,139.62429253179488,142.07729323490963,147.0768012483946,124.81885199646837,147.86127585014196,110.30607186414272,147.07680124839464,96.5777663335644,143.93890284140525,84.41841000648077,140.40876713354226
labeled-data,blue01-train-2022-05-06-19.51.18,img4700.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.36129473800224,71.37500217977708,188.75353203887596,89.02568071909204,185.61563363188657,107.06859655928065,178.16312491528691,124.32703779772197,161.29692097771925,139.23205523092128,140.508344031415,146.29232664664727,123.24990279297367,145.9000893457736,107.9526480589007,143.93890284140525,95.40105443094342,140.01652983266865,84.41841000648077,135.30968222218462
labeled-data,blue01-train-2022-05-06-19.51.18,img4800.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.36129473800224,71.37500217977703,188.7535320388759,89.02568071909204,185.2233963310129,106.28412195753333,174.63298920742392,122.75808859422733,156.19783606636162,135.30968222218462,133.448072615689,138.83981793004762,116.58186867812134,134.13297031956364,101.28461394404837,126.68046160296399,90.30196951958575,119.620190187238,82.8494608029861,112.559918771512
labeled-data,blue01-train-2022-05-06-19.51.18,img4950.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.53933012819073,70.94410148781722,188.18967859141196,88.07702678997896,183.6442086132874,104.16099748180426,171.05675328925014,122.6925289310812,150.42731261930038,132.48277196088793,129.53339194076142,131.51898887874125,112.84425512758816,123.74148354141767,100.77679439670928,112.90228590127452,92.34257174992297,101.1508563670995,85.3921267784416,91.57354215776706
labeled-data,blue01-train-2022-05-06-19.51.18,img5030.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.3612947380022,70.98276487890337,188.36129473800224,87.84896881647106,182.8699725257709,105.10741005491232,169.53390429606623,122.36585129335367,147.96085274801464,130.60283461170064,127.56451310258399,127.46493620471131,111.4827837667637,118.44347828461699,100.89237664317471,106.28412195753333,93.83210522744872,94.1247656304497,88.73302031609109,83.53435850686071
labeled-data,blue01-train-2022-05-06-19.51.18,img5050.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.36129473800224,70.98276487890342,188.3612947380022,87.84896881647106,182.8699725257709,105.10741005491238,169.53390429606628,122.36585129335367,147.96085274801464,130.21059731082698,127.56451310258399,127.46493620471131,111.87502106763736,118.05124098374327,101.28461394404843,105.49964735578601,93.83210522744878,93.34029102870235,89.12525761696475,82.3576466042397
labeled-data,blue01-train-2022-05-06-19.51.18,img5070.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,188.3612947380023,70.59052757802974,188.7535320388759,87.84896881647103,184.4389217292656,105.89188465665967,173.06404000392928,123.54256319597465,152.66770035849862,134.5252076204373,131.8791234121943,134.91744492131096,117.36634327986872,129.42612270907966,102.85356314754307,121.18913939073263,92.65539332482774,112.16768147063834,84.41841000648077,101.96951164792301
labeled-data,blue01-train-2022-05-06-19.51.18,img5080.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.96905743712853,70.9827648789034,189.53800664062328,87.84896881647103,186.00787093276017,105.49964735578604,176.98641301266588,124.32703779772197,159.7279717742246,138.0553433283003,138.54715752704664,143.15442823965793,120.89647898773171,142.3699536379106,105.20698695278503,137.27086872655298,93.83210522744872,131.77954651432162,83.63393540473342,125.50374970034295
labeled-data,blue01-train-2022-05-06-19.51.18,img5100.png,186.00787100000002,45.87957800000001,187.18458299999998,58.03893400000001,187.96905743712858,70.59052757802971,189.93024394149688,88.63344341821835,187.96905743712853,106.28412195753333,181.6932606231499,125.11151239946929,171.10285349956092,141.97771633703695,155.4133614646143,155.31378456674162,140.11610673054133,163.5507678850886,125.60332659821569,169.4343273981936,111.4827837667637,173.74893770780392,99.71566474055373,176.10236151304588
