scorer,,,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna,Yuna
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,,,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,blue01-train-2022-05-06-19.51.18,img0000.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.5272505538647,71.80700113617925,182.19965735536238,90.13008647699186,181.89707429468842,108.04972773690602,181.22466749319074,125.96936899681992,180.6867420519925,147.38552562452224,179.87985389019542,163.45604818031757,178.2996979066757,181.67827250090556,177.86263348570213,194.31952036906256,177.31798397648907,205.96560617100295,173.8281926767159,219.19857202447793
labeled-data,blue01-train-2022-05-06-19.51.18,img0300.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.00868149627905,71.85823853445342,182.13643878856362,90.0333943789366,181.8338557278896,108.11441327121014,181.4035153749311,125.59026604213562,180.63921297722862,147.1162491140824,179.9712888877409,163.25177099402248,178.25216883191183,181.77433701927947,177.68062305063864,194.65540997997078,177.01269896115105,206.01236085726714,173.85911106212677,219.18705145461234
labeled-data,blue01-train-2022-05-06-19.51.18,img0600.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.88092420399448,71.85823853445342,182.00868149627905,90.0333943789366,181.57834114332059,107.98665597892546,181.2255396608461,125.12368296257648,179.96033201891055,147.18205532638893,179.01067452264624,163.13015501719167,177.7088949549467,181.4913434100892,176.2744271117516,194.68844756748427,175.4137464058345,206.16419031304514,172.54481071944423,219.07440090180125
labeled-data,blue01-train-2022-05-06-19.51.18,img0900.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.76370521243427,71.90918067789406,181.76370521243416,89.93997604051819,181.30722938046904,107.97077140314241,180.6225156325213,125.0886151018363,179.3800334622684,147.11140778511168,178.35797512399188,163.12365508477717,176.9952306729565,181.52070517375455,175.97317233468004,194.46677745859063,175.29180010916224,206.0501052923912,171.8849389815739,219.336863689986
labeled-data,blue01-train-2022-05-06-19.51.18,img1200.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.72958364399483,71.75892404987223,181.72958364399483,89.8959768422705,181.19614091480668,108.03302963466882,180.66269818561835,125.10319696869078,179.0623699980539,146.97434886540634,177.46204181048932,162.97763074105188,175.86171362292475,181.11468353345032,174.26138543536024,194.45075176315498,173.19449997698382,205.6530490761068,169.99384360185468,218.98911730581148
labeled-data,blue01-train-2022-05-06-19.51.18,img1500.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.72958364399489,71.75892404987218,181.72958364399483,89.89597684227053,181.19614091480662,108.0330296346688,180.6626981856184,125.10319696869072,179.0623699980539,146.97434886540634,177.46204181048932,162.977630741052,175.8617136229248,181.11468353345026,174.26138543536024,194.45075176315487,173.19449997698376,205.65304907610675,169.46040087266658,218.98911730581142
labeled-data,blue01-train-2022-05-06-19.51.18,img1800.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.97398950786408,71.61834620123906,181.97398950786408,89.78901933371225,181.16037727805184,107.95969246618546,180.3467650482396,124.77434521563828,178.71954058861513,146.7418754205686,177.39206387431835,162.68954925373038,175.24036210952568,180.97901425446804,173.35762306533212,194.15818756382328,171.74384674173757,205.72358454958402,169.0542195357467,218.90275785893908
labeled-data,blue01-train-2022-05-06-19.51.18,img2100.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.80269891823355,71.70710389903675,182.04700672277778,90.03018923984948,181.06977550460107,107.86465897157382,180.29650768287866,124.92586088157583,178.1380818500711,146.7095998940967,176.41520135920456,162.68304932131576,174.17384535421223,180.8940668618789,171.9324893492198,194.062033391209,169.9713028448515,205.82915241741904,166.60926883736295,218.99711894674925
labeled-data,blue01-train-2022-05-06-19.51.18,img2400.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.80380446708307,71.7490844970103,182.0301814235873,89.85924101734867,181.35105055407467,107.74302058118283,180.63381663247708,124.98577232758919,177.9608068399072,146.59672520568512,175.95703457144407,162.62690335339067,173.28533821349316,180.6608537695593,170.6136418555422,193.68537351457007,167.94194549759135,206.041969170093,164.60232505015267,218.06460278087218
labeled-data,blue01-train-2022-05-06-19.51.18,img2700.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,181.94401025061939,71.72205374359018,182.21297297121845,90.01151874432793,181.40608480942126,107.76305830386755,180.33023392702484,124.70770970160999,177.37164400043486,146.22472734953686,174.88698431838867,162.85242859461306,171.74908591139933,180.4246596737533,169.23876718580777,193.29004314240956,165.4732890974206,205.52784692966793,161.70781100903343,217.1380710355284
labeled-data,blue01-train-2022-05-06-19.51.18,img3000.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.18665608968587,71.83253018107615,182.45561881028488,89.89785958131469,181.2004594474891,107.78388050115385,180.25908992539235,124.72853189889628,176.49361183700518,146.38003090712266,173.35571343001584,163.01089246416603,169.60676926453857,179.693170727964,166.5002498416191,192.341142664136,161.84047070723994,205.43290308929642,156.29311459488378,216.97140380299714
labeled-data,blue01-train-2022-05-06-19.51.18,img3300.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.52103614732465,72.28804096197078,182.7765507318938,89.98130526538057,181.30846254862382,107.8538780491898,180.17209505409267,124.84559792303702,176.03903458088678,147.205365428841,172.129190191879,162.82539784119285,167.70475343802406,179.25902006979697,162.9642854874652,191.58423674124998,157.9077863402024,204.54151580611102,151.27113120941993,216.55070128086015
labeled-data,blue01-train-2022-05-06-19.51.18,img3600.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.1605342061257,72.53030913255037,182.87328541571327,90.11150563571059,180.97261552347976,107.45511840234161,179.78469684083382,124.32356369591423,175.69417114087355,146.9285131351043,171.4243879513631,162.584384829976,165.7313436986824,178.52490873748178,160.32295165863582,191.33425830601323,154.06060298068712,203.5743034492766,147.79825430273843,215.52969637990594
labeled-data,blue01-train-2022-05-06-19.51.18,img3900.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.54045077303988,72.19970912181395,183.15458231840785,89.3953923921155,180.39099036425222,107.20520720778492,178.24152995546456,124.09382470540248,172.40728027446931,146.8166918840152,167.4347753831546,161.34370462697257,159.72226936997578,176.02234510366765,153.00492542301367,188.46187093137536,144.7948383767266,199.9062346928664,137.08233236354783,211.59938897091166
labeled-data,blue01-train-2022-05-06-19.51.18,img4200.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.75158146565911,71.99285437611331,183.31640317891726,88.93750577385569,180.49229461262672,107.0118005981142,178.2330077595945,124.23886285248557,170.60791463061042,145.98449881292163,163.75866632241554,159.14551713863625,153.9953195646687,172.9769250454442,144.503176883526,184.3674962628155,134.4686260491751,194.94445525037452,123.62046298501201,205.7926183145376
labeled-data,blue01-train-2022-05-06-19.51.18,img4500.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.96905743712858,72.15947678152435,183.36129473800224,89.02568071909204,180.2233963310129,107.06859655928065,175.12431141965516,124.32703779772197,163.3571923934453,142.36995363791067,145.70651385413026,154.9215472658679,130.0170218191837,162.37405598246755,115.89647898773171,167.08090359295159,103.73712266064805,169.43432739819355,91.97000363443806,171.78775120343556
labeled-data,blue01-train-2022-05-06-19.51.18,img4511.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.96905743712858,72.1594767815244,183.7535320388759,89.02568071909204,180.2233963310129,107.06859655928065,175.51654872052887,124.71927509859563,162.96495509257153,142.3699536379106,145.31427655325672,154.13707266412058,129.62478451830998,161.19734407984657,115.11200438598433,165.51195438945695,102.16817345715339,167.47314089382525,90.40105443094342,169.04209009731994
labeled-data,blue01-train-2022-05-06-19.51.18,img4650.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.36129473800224,71.76723948065074,183.7535320388759,89.02568071909204,180.2233963310129,107.06859655928068,173.16312491528686,124.32703779772191,157.4736328803403,139.62429253179488,137.07729323490963,147.0768012483946,119.81885199646837,147.86127585014196,105.30607186414272,147.07680124839464,91.5777663335644,143.93890284140525,79.41841000648077,140.40876713354226
labeled-data,blue01-train-2022-05-06-19.51.18,img4700.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.36129473800224,71.37500217977708,183.75353203887596,89.02568071909204,180.61563363188657,107.06859655928065,173.16312491528691,124.32703779772197,156.29692097771925,139.23205523092128,135.508344031415,146.29232664664727,118.24990279297367,145.9000893457736,102.9526480589007,143.93890284140525,90.40105443094342,140.01652983266865,79.41841000648077,135.30968222218462
labeled-data,blue01-train-2022-05-06-19.51.18,img4800.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.36129473800224,71.37500217977703,183.7535320388759,89.02568071909204,180.2233963310129,106.28412195753333,169.63298920742392,122.75808859422733,151.19783606636162,135.30968222218462,128.448072615689,138.83981793004762,111.58186867812134,134.13297031956364,96.28461394404837,126.68046160296399,85.30196951958575,119.620190187238,77.8494608029861,112.559918771512
labeled-data,blue01-train-2022-05-06-19.51.18,img4950.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.53933012819073,70.94410148781722,183.18967859141196,88.07702678997896,178.6442086132874,104.16099748180426,166.05675328925014,122.6925289310812,145.42731261930038,132.48277196088793,124.53339194076142,131.51898887874125,107.84425512758816,123.74148354141767,95.77679439670928,112.90228590127452,87.34257174992297,101.1508563670995,80.3921267784416,91.57354215776706
labeled-data,blue01-train-2022-05-06-19.51.18,img5030.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.3612947380022,70.98276487890337,183.36129473800224,87.84896881647106,177.8699725257709,105.10741005491232,164.53390429606623,122.36585129335367,142.96085274801464,130.60283461170064,122.56451310258399,127.46493620471131,106.4827837667637,118.44347828461699,95.89237664317471,106.28412195753333,88.83210522744872,94.1247656304497,83.73302031609109,83.53435850686071
labeled-data,blue01-train-2022-05-06-19.51.18,img5050.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.36129473800224,70.98276487890342,183.3612947380022,87.84896881647106,177.8699725257709,105.10741005491238,164.53390429606628,122.36585129335367,142.96085274801464,130.21059731082698,122.56451310258399,127.46493620471131,106.87502106763736,118.05124098374327,96.28461394404843,105.49964735578601,88.83210522744878,93.34029102870235,84.12525761696475,82.3576466042397
labeled-data,blue01-train-2022-05-06-19.51.18,img5070.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,183.3612947380023,70.59052757802974,183.7535320388759,87.84896881647103,179.4389217292656,105.89188465665967,168.06404000392928,123.54256319597465,147.66770035849862,134.5252076204373,126.8791234121943,134.91744492131096,112.36634327986872,129.42612270907966,97.85356314754307,121.18913939073263,87.65539332482774,112.16768147063834,79.41841000648077,101.96951164792301
labeled-data,blue01-train-2022-05-06-19.51.18,img5080.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.96905743712853,70.9827648789034,184.53800664062328,87.84896881647103,181.00787093276017,105.49964735578604,171.98641301266588,124.32703779772197,154.7279717742246,138.0553433283003,133.54715752704664,143.15442823965793,115.89647898773171,142.3699536379106,100.20698695278503,137.27086872655298,88.83210522744872,131.77954651432162,78.63393540473342,125.50374970034295
labeled-data,blue01-train-2022-05-06-19.51.18,img5100.png,181.00787100000002,45.87957800000001,182.18458299999998,58.03893400000001,182.96905743712858,70.59052757802971,184.93024394149688,88.63344341821835,182.96905743712853,106.28412195753333,176.6932606231499,125.11151239946929,166.10285349956092,141.97771633703695,150.4133614646143,155.31378456674162,135.11610673054133,163.5507678850886,120.60332659821569,169.4343273981936,106.4827837667637,173.74893770780392,94.71566474055373,176.10236151304588
