scorer,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,327.618,178.938,1.0,329.383,191.356,1.0,330.27,205.098,1.0,331.615,222.398,1.0,329.505,242.799,1.0,329.003,258.756,1.0,327.071,280.69,1.0,331.48,294.857,1.0,328.37,314.134,1.0,326.371,329.146,1.0,325.976,338.192,1.0,319.549,348.94,1.0
1,327.582,178.724,1.0,329.329,191.181,1.0,330.592,205.043,1.0,331.503,222.328,1.0,329.496,242.977,1.0,328.877,258.777,1.0,327.184,280.894,1.0,331.416,295.063,1.0,328.36,314.256,1.0,326.068,329.285,1.0,325.672,338.262,1.0,319.177,348.935,1.0
2,327.541,178.607,1.0,329.397,191.001,1.0,330.308,204.832,1.0,331.752,221.917,1.0,329.55,242.529,1.0,328.638,258.436,1.0,327.234,280.415,1.0,331.347,294.898,1.0,328.197,313.989,1.0,326.014,329.147,1.0,325.601,338.273,1.0,319.113,348.904,1.0
3,327.66,178.836,1.0,329.42,191.225,1.0,330.198,204.924,1.0,331.591,222.043,1.0,329.283,242.629,1.0,328.456,258.518,1.0,327.266,280.519,1.0,331.47,294.895,1.0,328.268,314.154,1.0,326.124,329.343,1.0,325.624,338.284,1.0,319.352,348.876,1.0
4,327.784,178.857,1.0,329.436,191.272,1.0,330.18,204.962,1.0,331.668,222.159,1.0,329.063,242.852,1.0,328.351,258.75,1.0,327.463,281.041,1.0,331.364,295.447,1.0,328.054,314.849,1.0,325.992,329.758,1.0,325.537,338.52,1.0,318.964,349.152,1.0
5,327.679,178.793,1.0,329.446,191.208,1.0,330.377,204.948,1.0,331.662,222.123,1.0,329.503,242.734,1.0,328.645,258.565,1.0,327.459,280.749,1.0,331.514,295.11,1.0,328.303,314.481,1.0,326.18,329.503,1.0,325.599,338.388,1.0,319.212,349.08,1.0
6,327.742,178.849,1.0,329.466,191.247,1.0,330.244,204.926,1.0,331.707,222.181,1.0,329.41,242.725,1.0,328.663,258.59,1.0,327.431,280.821,1.0,331.483,295.176,1.0,328.367,314.446,1.0,326.102,329.449,1.0,325.641,338.367,1.0,319.339,348.961,1.0
