scorer,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000,DLC_resnet50_BlSsRnetYu00Jul23shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,181.853,46.229,1.0,182.846,57.125,1.0,181.706,72.752,1.0,183.25,89.519,1.0,182.665,109.062,1.0,181.783,126.518,1.0,181.073,148.021,1.0,179.637,163.364,1.0,177.699,181.671,1.0,176.915,194.625,1.0,176.351,207.391,1.0,174.537,220.37,1.0
1,181.917,46.081,1.0,182.966,57.037,1.0,181.913,72.657,1.0,183.315,89.505,1.0,182.771,109.128,1.0,181.663,126.717,1.0,181.135,148.383,1.0,179.591,163.532,1.0,177.708,181.849,1.0,176.76,194.968,1.0,176.207,207.553,1.0,174.051,220.157,1.0
2,181.876,45.895,1.0,182.792,56.831,1.0,181.709,72.404,1.0,183.069,89.211,1.0,182.223,108.544,1.0,181.666,126.176,1.0,181.035,147.986,1.0,179.474,163.353,1.0,177.7,181.769,1.0,176.838,194.779,1.0,176.245,207.468,1.0,174.146,219.926,1.0
3,181.879,46.084,1.0,182.826,56.959,1.0,181.717,72.591,1.0,183.227,89.453,1.0,182.335,108.757,1.0,181.659,126.543,1.0,181.056,148.259,1.0,179.523,163.507,1.0,177.767,181.965,1.0,176.879,195.015,1.0,176.246,207.502,1.0,174.168,219.817,1.0
4,181.854,45.994,1.0,182.84,56.994,1.0,181.75,72.601,1.0,183.173,89.569,1.0,182.416,108.954,1.0,181.612,126.855,1.0,180.981,148.626,1.0,179.539,163.707,1.0,177.747,182.293,1.0,176.939,195.298,1.0,176.266,207.698,1.0,174.016,219.948,1.0
5,181.846,45.925,1.0,182.81,56.934,1.0,181.753,72.587,1.0,183.129,89.465,1.0,182.266,108.809,1.0,181.681,126.543,1.0,181.058,148.255,1.0,179.539,163.454,1.0,177.772,181.97,1.0,176.812,195.181,1.0,176.228,207.551,1.0,174.056,219.856,1.0
6,181.927,45.881,1.0,182.851,56.926,1.0,181.789,72.562,1.0,183.084,89.447,1.0,182.21,108.773,1.0,181.581,126.503,1.0,180.997,148.177,1.0,179.485,163.391,1.0,177.74,181.859,1.0,176.736,195.116,1.0,176.204,207.421,1.0,174.076,219.85,1.0
