scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.2956520046609643,1.0,2.0569095387072127,1.0,0.8208174964486594,1.0,3.0121842410993533,1.0,1.3999513563311137,1.0,0.704766827825417,1.0,1.4670028892233598,1.0,1.1598603284107878,1.0,0.9471707675418151,1.0,2.1315732535700938,1.0,2.7417517746643956,1.0,2.0270012179418786,1.0
1,1.3972698337689655,1.0,2.19488096301706,1.0,0.4409227814967504,1.0,2.290636354623149,1.0,0.7553940513928733,1.0,0.562861357723846,1.0,1.154023513960803,1.0,1.5112153701993145,1.0,1.9923917431686586,1.0,2.364585092771105,1.0,2.698459918488945,1.0,1.174727100616446,1.0
2,0.9888662691927709,1.0,2.607827412197432,1.0,0.35029205795102214,1.0,1.0652373031571651,1.0,0.9851572695757814,1.0,0.4802870343112165,1.0,0.8588616223761165,1.0,0.7763456423130517,1.0,2.130353041736157,1.0,2.2276297191473344,1.0,2.398702545876189,1.0,1.3592267056654879,1.0
3,1.0755149122822063,1.0,2.023286979687038,1.0,0.6262903273504994,1.0,3.1718681252925163,1.0,1.168911475114746,1.0,0.49990903932432046,1.0,0.923900478764506,1.0,0.6190863219441843,1.0,1.46062986431234,1.0,1.9700961018498695,1.0,2.772399633944608,1.0,1.4453705117745126,1.0
4,1.008607831203326,1.0,2.268181678370353,1.0,0.331816623147056,1.0,3.1555591091102357,1.0,0.5124121663045239,1.0,0.24329051043797933,1.0,0.8523651912649435,1.0,2.7195619483774114,1.0,1.9126571884918686,1.0,1.8066961091743414,1.0,2.6564882144724855,1.0,0.8399616596322247,1.0
5,1.1728599882832464,1.0,2.2925536457106057,1.0,0.7848317345501692,1.0,2.5872301280568153,1.0,0.38876055907750967,1.0,0.33636467484059124,1.0,0.894682220419301,1.0,2.6112148286072094,1.0,1.0180366228680584,1.0,1.9273107809179277,1.0,1.460417246197304,1.0,1.2744442479216693,1.0
6,0.9280851039954949,1.0,2.049892847231786,1.0,1.2364197429059858,1.0,1.0796333491551957,1.0,0.4781467517299598,1.0,1.3277203013842833,1.0,0.24329024716479122,1.0,0.6563454503366862,1.0,1.1729807849319036,1.0,1.4582981256145549,1.0,1.4687520245139558,1.0,1.5946180238844128,1.0
7,1.337862706813123,1.0,2.363417513717148,1.0,1.293701076600522,1.0,2.7544442032308676,1.0,0.7310840385131128,1.0,1.6704573990795677,1.0,0.13016854951608114,1.0,0.6393749973509897,1.0,1.5956484644502182,1.0,0.9230916790743282,1.0,1.7652973283972333,1.0,1.7689840581285097,1.0
8,1.5381633870348594,1.0,1.8581820918858063,1.0,1.289807007231825,1.0,2.1229569185014583,1.0,0.8004560285948088,1.0,1.2397075863279425,1.0,0.41600270867193667,1.0,0.3954184073744143,1.0,1.7217842499267737,1.0,1.5553662527965542,1.0,1.6730305137218255,1.0,1.2997472756589348,1.0
9,1.3779755945446355,1.0,1.4131324150760445,1.0,0.7381372218282258,1.0,1.2698545372259533,1.0,0.8465096806024689,1.0,0.6666267237025031,1.0,0.27720715720138667,1.0,0.32935655860492696,1.0,1.9729797113261167,1.0,0.9025740922082276,1.0,2.1606549716845995,1.0,1.8382065639271776,1.0
10,1.5881977613127303,1.0,1.7606445847425682,1.0,0.7238177341519059,1.0,0.5898421778528669,1.0,0.4382798037234009,1.0,0.5106301501196582,1.0,0.8412166051291015,1.0,0.6155300144123373,1.0,2.319240224199827,1.0,0.7825618954606343,1.0,1.2112053802369627,1.0,1.6827100903210306,1.0
11,1.6158635494732663,1.0,1.9723967939633489,1.0,0.25829279235258207,1.0,1.0007941545799715,1.0,0.5733888290186704,1.0,0.6830271007882542,1.0,0.2839336977468434,1.0,0.16250270438938627,1.0,1.5686791115028182,1.0,0.6253175357435229,1.0,1.2503508802166634,1.0,2.0766540390623236,1.0
12,2.183289446203285,1.0,1.7470029945204288,1.0,0.14007622409442305,1.0,0.7335357967019333,1.0,0.4801340109526146,1.0,0.8438670930451252,1.0,0.5880423810986075,1.0,1.0428127604722037,1.0,1.9943421357526459,1.0,0.8161978136024178,1.0,1.8689397480003451,1.0,1.7849055382578989,1.0
13,1.641233313459299,1.0,1.3274914849905535,1.0,0.09713562504459534,1.0,0.6425491436199522,1.0,0.4558448012551413,1.0,0.7970541415668179,1.0,0.36347235041709236,1.0,1.1192035988829043,1.0,2.4110374610556637,1.0,0.2947653272153439,1.0,1.5886579142485455,1.0,1.8285745432830145,1.0
