scorer,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000,DLC_resnet50_GnSsEnetSt01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point1,point2,point2,point2,point3,point3,point3,point4,point4,point4,point5,point5,point5,point6,point6,point6,point7,point7,point7,point8,point8,point8,point9,point9,point9,point10,point10,point10,point11,point11,point11,point12,point12,point12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,191.319,50.755,1.0,191.925,66.794,1.0,192.552,83.33,1.0,192.97,98.54,1.0,192.319,111.7,1.0,191.571,125.55,1.0,192.323,140.157,1.0,190.874,150.384,1.0,190.421,171.341,1.0,187.284,189.582,1.0,188.583,209.717,1.0,187.318,225.697,1.0
1,190.966,50.418,1.0,191.462,67.291,1.0,192.056,83.697,1.0,192.429,98.815,1.0,192.137,111.552,1.0,191.961,125.109,1.0,192.194,139.41,1.0,190.611,149.612,1.0,189.62,169.943,1.0,187.146,189.009,1.0,188.262,209.577,1.0,187.414,225.729,1.0
2,191.017,50.663,1.0,191.492,67.251,1.0,192.313,83.512,1.0,192.797,98.889,1.0,192.099,111.495,1.0,191.956,125.512,1.0,192.304,140.026,1.0,190.846,150.259,1.0,190.219,171.173,1.0,187.124,189.469,1.0,188.292,209.782,1.0,187.048,225.642,1.0
3,190.938,50.644,1.0,191.396,67.148,1.0,192.395,83.15,1.0,192.976,98.814,1.0,192.126,111.368,1.0,191.882,125.439,1.0,192.284,139.877,1.0,190.743,149.928,1.0,190.499,171.393,1.0,187.405,189.452,1.0,188.11,209.726,1.0,187.311,225.898,1.0
4,190.873,50.417,1.0,191.234,67.125,1.0,192.067,83.113,1.0,192.65,98.745,1.0,192.002,111.588,1.0,191.773,125.407,1.0,192.049,139.807,1.0,190.657,149.695,1.0,190.435,171.347,1.0,187.272,189.217,1.0,188.084,209.379,1.0,187.33,225.88,1.0
5,190.996,50.612,1.0,191.078,67.135,1.0,191.964,82.89,1.0,192.815,98.632,1.0,191.952,111.495,1.0,191.692,125.377,1.0,192.061,139.801,1.0,190.45,149.751,1.0,190.388,171.273,1.0,187.246,189.199,1.0,187.908,209.307,1.0,187.173,225.846,1.0
6,191.032,51.058,1.0,191.263,67.279,1.0,192.094,83.038,1.0,192.831,98.705,1.0,191.94,111.644,1.0,191.591,125.631,1.0,191.964,139.893,1.0,190.362,149.568,1.0,189.895,170.649,1.0,187.397,188.834,1.0,187.909,209.207,1.0,187.237,225.713,1.0
