scorer,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.9690406772727467,1.0,1.047669875464568,1.0,1.4296339536906073,1.0,1.5471404227066474,1.0,0.8126895137151888,1.0,1.5905810514312786,1.0,0.9857698355389248,1.0,0.6075463862650553,1.0,1.5244609746708966,1.0,1.8282282777383536,1.0,0.9302706281222364,1.0,0.7892220512343835,1.0
1,1.647626419918685,1.0,1.490405739569548,1.0,1.4191824392897578,1.0,1.2113089877860328,1.0,0.6053893500151829,1.0,1.2105993967996194,1.0,1.3787746163997836,1.0,1.1334298109570273,1.0,1.1276618312044284,1.0,1.7983953133694284,1.0,1.194660745574118,1.0,0.5084835571989623,1.0
2,1.706194994043752,1.0,0.8661893506646096,1.0,1.6349291396784242,1.0,0.36662584587693897,1.0,0.7319125070278831,1.0,1.1034766704940335,1.0,1.3557478411185169,1.0,1.0544467151713468,1.0,1.4272027203482378,1.0,2.3026106708237233,1.0,1.3639381157113695,1.0,0.22147475700932956,1.0
3,1.7006866091849324,1.0,1.2001669544082645,1.0,2.148524277791444,1.0,0.49792722468120787,1.0,0.6076638005762384,1.0,1.1784442257002683,1.0,1.2276102521198051,1.0,0.9253102535480415,1.0,1.2753238437201044,1.0,1.906508823239624,1.0,1.6058680715813056,1.0,1.0103952295496266,1.0
4,1.6275546887667183,1.0,1.9560474512434718,1.0,1.918578203820845,1.0,0.864707436811893,1.0,0.9198750106690582,1.0,1.320758985664415,1.0,1.2947635463939284,1.0,0.5997884764183171,1.0,1.2924445794050978,1.0,1.9379718319194297,1.0,1.6104384961720166,1.0,1.6346284788631653,1.0
5,1.6383093255179013,1.0,2.0938003474992417,1.0,1.769036656239706,1.0,0.6196799593814888,1.0,0.7360842808106556,1.0,1.3161409753564026,1.0,1.622404438952109,1.0,0.6101438348119679,1.0,1.5023650814637592,1.0,2.149022549324368,1.0,1.8580423162764248,1.0,1.829018380131197,1.0
6,1.5406317579671764,1.0,1.6031645719597911,1.0,0.8171604633550523,1.0,0.6516297376725659,1.0,0.7002653644609054,1.0,1.0942285353251826,1.0,1.9503053890488475,1.0,0.6321146708998917,1.0,1.631447434019671,1.0,2.1079087714363864,1.0,1.6856833857366371,1.0,2.372871556712397,1.0
7,1.4885499564792573,1.0,1.647374642530161,1.0,1.2997087651928831,1.0,1.960983602503277,1.0,0.7552598007800415,1.0,1.3599791005694988,1.0,1.9712826296975883,1.0,0.48147049232441025,1.0,1.887824192832443,1.0,1.6665900026571066,1.0,2.238495451218102,1.0,2.1310581858463373,1.0
8,1.5013465932460726,1.0,2.3426527427669153,1.0,1.3946230941122777,1.0,0.6407632127122393,1.0,0.8701250213799977,1.0,1.5052181777540143,1.0,1.7532449725577888,1.0,0.4787090539592457,1.0,2.2701450817527395,1.0,1.4124898513793265,1.0,0.46265031680988716,1.0,2.0786377421802045,1.0
9,1.5759286158424894,1.0,2.088218992913148,1.0,1.5054987744877948,1.0,1.0844144097532948,1.0,0.9853005942774489,1.0,1.6932018501754698,1.0,1.750179740235061,1.0,0.6260132493344813,1.0,1.7213824931740398,1.0,1.7914102475134663,1.0,0.5642197905189789,1.0,2.422497741384721,1.0
10,1.3221243763311672,1.0,3.3265329204161525,1.0,1.067448122198005,1.0,1.001012904777701,1.0,0.7751990979449009,1.0,0.6481116249502212,1.0,0.5474672516987076,1.0,2.2683969527752983,1.0,2.520095537420186,1.0,0.7311376070451957,1.0,1.3028004105067814,1.0,1.2268293773646817,1.0
11,1.2253729722727509,1.0,3.166162980008094,1.0,0.8335815663238328,1.0,0.6954347768776294,1.0,0.6619362130492593,1.0,0.5451685287893531,1.0,0.8310917306053467,1.0,2.3039957407825016,1.0,2.6832856201652007,1.0,1.0443186054100948,1.0,1.1405117940172276,1.0,1.177917673805209,1.0
12,1.377702053078032,1.0,2.3352987925489934,1.0,0.6106528014960573,1.0,1.11643579361878,1.0,0.6366770520084595,1.0,0.47772532904636617,1.0,1.1892200629261538,1.0,2.196202668635622,1.0,1.9304565043937163,1.0,0.6122303218411626,1.0,0.8300808096976704,1.0,1.1845809388456399,1.0
13,1.168300228373673,1.0,0.7012973414653679,1.0,1.1937228862230997,1.0,1.8316941480617535,1.0,0.746225695613223,1.0,0.5815765516849839,1.0,1.7198876953939404,1.0,1.2860563505755997,1.0,0.18386131212886012,1.0,0.7201934050174561,1.0,1.5995092845864258,1.0,1.5421588492041776,1.0
14,1.283832453187037,1.0,0.9163950623170121,1.0,0.7488183820995599,1.0,0.4655630769803056,1.0,0.6911487656851361,1.0,0.033904610374295596,1.0,0.012968286229791123,1.0,1.6360656534110627,1.0,1.4512112917662603,1.0,0.8922533458807939,1.0,1.7512917321618735,1.0,1.214453472908284,1.0
