scorer,,,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia,Xiaojia
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,,,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,orange01-train-2022-05-10-18.15.05,img0000.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,321.3101864022375,295.4652558853285,321.7145195079429,313.6085197474853,321.3587716378605,328.47391492181106,320.83786550796214,347.5769527789464,320.327847739313,360.9963250723785
labeled-data,orange01-train-2022-05-10-18.15.05,img0052.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,321.3101864022375,295.4652558853285,321.7145195079429,313.6085197474853,321.3587716378605,328.47391492181106,320.83786550796214,347.5769527789464,320.327847739313,360.9963250723785
labeled-data,orange01-train-2022-05-10-18.15.05,img1000.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,321.3101864022375,295.4652558853285,320.6865153297001,313.6085197474853,319.302763281375,328.98791701093245,317.75385297323385,348.09095486806774,317.24383520458474,361.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1300.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,321.3101864022375,295.4652558853285,320.6865153297001,313.6085197474853,318.7887611922536,328.98791701093245,317.2398508841125,348.09095486806774,316.21583102634196,361.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1600.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,320.2405866792103,295.4652558853285,319.0821157451594,313.0737198859717,317.1843616077129,328.98791701093245,315.10065143805815,348.09095486806774,314.0766315802877,361.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img1850.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,321.27254091790047,277.4060567082503,320.2405866792103,295.4652558853285,319.0821157451594,313.0737198859717,317.1843616077129,328.98791701093245,315.10065143805815,348.09095486806774,314.0766315802877,361.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img2226.png,321.305454,186.780914,321.305454,200.0283,322.3005279661309,212.90891679011406,322.30052796613097,226.84029901243147,322.3005279661309,242.31961259278418,321.7845508467859,259.8628346505173,320.75259660809564,277.4060567082503,319.7206423694055,295.4652558853285,318.04222712554974,313.0737198859717,315.6245286782983,328.98791701093245,311.980985579229,348.61089917787257,309.91707710184875,361.51032716149984
labeled-data,orange01-train-2022-05-10-18.15.05,img2400.png,321.305454,186.780914,321.305454,200.0283,322.35421980533783,212.50267608423138,322.8721852758172,226.4877437871743,322.3878942901132,242.5446733720347,321.808452502676,259.6267212158529,320.32111418219654,277.68187888015217,318.2741825019251,295.17534436136657,315.73253332271935,311.9366166072182,312.4049968227184,327.5312053893543,307.76031239113723,348.45078987654034,305.3545591435962,360.2782720325519
labeled-data,orange01-train-2022-05-10-18.15.05,img3000.png,321.305454,186.780914,321.305454,200.0283,322.42726654289345,212.30078200812633,323.05278736462907,226.49054803642701,322.44621970145624,242.65000880596668,321.1528542646772,259.93631598168525,318.5432693550857,278.7228768230718,315.56108595436166,295.1784143850162,311.10958913388095,312.32861403286097,307.0215982675033,328.28739590824966,300.70455652750235,347.721020274389,297.5403240135471,359.64408607580003
labeled-data,orange01-train-2022-05-10-18.15.05,img3100.png,321.305454,186.780914,321.305454,200.0283,322.23761633596087,211.8076965358108,322.71299399063963,225.98583508660408,322.33863408758015,242.8320307242817,321.3165721300208,260.3526547170043,318.23713683735565,278.5291980210104,315.40109143961246,295.07306386313286,310.75724597546946,312.4986260174502,306.62740260044797,327.23236220214926,300.3345908966382,347.7478791118784,297.0396295276464,359.2876716792046
labeled-data,orange01-train-2022-05-10-18.15.05,img3500.png,321.305454,186.780914,321.305454,200.0283,322.22483313371555,214.0927180774378,322.5160019472062,228.6778987450497,321.5533621964818,244.51688797687677,318.91798732335656,263.6656941294046,315.16844607207804,281.4715584074649,310.07578467971166,297.0186171940865,304.22584668344194,312.86431027831185,296.52472867764646,327.30390653917834,286.9072445014273,345.5762351408922,281.6127258724429,355.23828597223746
labeled-data,orange01-train-2022-05-10-18.15.05,img3600.png,321.305454,186.780914,321.305454,200.0283,322.22483313371555,214.0927180774378,322.5160019472062,228.6778987450497,321.5533621964818,244.51688797687677,318.91798732335656,263.6656941294046,315.16844607207804,281.4715584074649,310.07578467971166,297.0186171940865,304.22584668344194,312.86431027831185,296.52472867764646,327.30390653917834,286.9072445014273,345.5762351408922,281.6127258724429,355.23828597223746
labeled-data,orange01-train-2022-05-10-18.15.05,img3755.png,321.305454,186.780914,321.305454,200.0283,322.3234598224442,214.53084221746013,322.36035799378044,229.9043699294373,322.06246237549726,245.78792581639053,319.06007176211943,264.21463647614485,315.6908326345839,281.77372032922,309.9149941302373,297.6754594114647,303.6578357505284,312.8279438877289,296.4380376200952,327.74886002395766,284.8863606114019,345.55769541235975,279.1105221070553,353.74013329351743
labeled-data,orange01-train-2022-05-10-18.15.05,img3760.png,321.305454,186.780914,321.305454,200.0283,321.3846462101709,214.45097456244517,320.9300663278843,229.45211067790098,317.7480071518786,246.27156632250293,314.5659479758728,262.6364420848184,307.7472497415747,279.0013178471338,300.4739716249901,294.0024539625896,291.3823739792593,308.0944303134723,282.29077633352847,320.8226670174954,265.7575611070751,337.54108731905757,258.65262245462844,344.91540077868206
labeled-data,orange01-train-2022-05-10-18.15.05,img3780.png,321.305454,186.780914,321.305454,200.0283,323.65614771418774,213.82347605826916,322.74104572893117,229.42180535241513,321.4040460751473,244.41438467008672,316.9473805625341,261.5097970432297,310.70804884487575,280.2277921962048,302.24038437091076,296.2717880416121,292.4357202431619,309.6417845794515,281.294056461629,321.2291149122457,264.80439406496043,335.4904445526077,257.22806269351815,341.7297762702661
labeled-data,orange01-train-2022-05-10-18.15.05,img3800.png,321.305454,186.780914,321.305454,200.0283,323.2255684612419,214.7791634107939,322.7531619169049,230.82018814585942,320.9051312843413,245.95799533703536,316.1810658409713,262.4922243888301,308.15015458724247,280.44367307363575,299.64683678917663,296.0330890367565,288.78148626942584,308.7880657338553,277.916135749675,318.23619662059514,261.36110892548805,331.4427820896387,250.98896272246643,339.0220845714228
labeled-data,orange01-train-2022-05-10-18.15.05,img3850.png,321.305454,186.780914,321.305454,200.0283,322.47157306735716,214.38794982762036,323.2373248202108,229.255450795423,321.5768666503954,246.2672435898013,315.6380095884715,262.50819225080465,307.09817893326357,279.2109150590376,296.7621530761655,294.3040810844832,284.3547962890505,305.4279182039656,271.5535338707434,313.9847159881828,253.1224843766577,324.23590620023407,242.4604214044049,329.3699848707645
labeled-data,orange01-train-2022-05-10-18.15.05,img3860.png,321.305454,186.780914,321.305454,200.0283,322.4552041162832,214.8573036127818,322.4581752266249,229.1542865772447,320.88051563515984,245.78359115997515,314.91136357120183,262.92506334920444,306.2002594366122,279.6572201661767,294.4287202626301,294.27211193720603,281.953027937655,305.3573246222458,267.64118942148343,313.48628251725216,250.1680895016982,322.4709201906802,240.32777204984842,326.7493190827888
labeled-data,orange01-train-2022-05-10-18.15.05,img3880.png,321.305454,186.780914,321.305454,200.0283,323.4307087747874,215.3316116677375,322.93750445805824,229.5483746529734,320.57844284671495,246.1390548012612,314.8352865561275,262.88423268731964,305.6209954232794,279.4072309420225,294.09605840766176,294.35191596098525,281.3232550485126,304.8904443431444,266.8004676980772,312.9213555968733,248.6469835100331,321.02060238846224,238.87203048570163,325.20986797031856
labeled-data,orange01-train-2022-05-10-18.15.05,img3890.png,321.305454,186.780914,321.305454,200.0283,323.121874798985,215.68427018879316,323.2420719349331,231.3142908830689,319.6652657788295,247.19482687297523,313.4605028735328,263.5368488413746,304.3981312416003,280.57974348744256,290.8097946836717,294.21520711548504,276.43290619247205,304.38623544883995,264.280292290744,310.68834678567634,247.06572775739545,317.199377873359,236.31506724161568,321.0682948698775
labeled-data,orange01-train-2022-05-10-18.15.05,img3900.png,321.305454,186.780914,321.305454,200.0283,323.121874798985,215.68427018879316,323.2420719349331,231.3142908830689,319.6652657788295,247.19482687297523,313.4605028735328,263.5368488413746,304.3981312416003,280.57974348744256,290.8097946836717,294.21520711548504,276.43290619247205,304.38623544883995,264.280292290744,310.68834678567634,247.06572775739545,317.199377873359,236.31506724161568,321.0682948698775
labeled-data,orange01-train-2022-05-10-18.15.05,img3950.png,321.305454,186.780914,321.305454,200.0283,323.6325590582343,215.09169817332833,322.94307560122644,230.72939852707992,319.84813842673674,246.18738518692518,313.9528956494103,262.1430609305483,303.56705727674006,278.81796025488643,291.6086198193798,290.81310508761027,275.79721004768487,300.01160064679226,260.392591242922,305.504907104311,240.90028510164205,311.6357704768532,231.3127784426389,314.63894283342006
labeled-data,orange01-train-2022-05-10-18.15.05,img3970.png,321.305454,186.780914,321.305454,200.0283,323.96728027739834,214.04067370236734,322.8498052914821,229.0816173504817,319.77118284864207,245.47921391625164,312.61304322816187,262.61836152073306,301.2295589901596,279.1737801564825,288.97336279193365,291.81533889364033,273.4305497988103,300.2935321541154,258.77461041011094,304.64769152735255,239.86222079203074,309.3613552519405,229.57786357474785,311.71818711423447
labeled-data,orange01-train-2022-05-10-18.15.05,img3990.png,321.305454,186.780914,321.305454,200.0283,323.9518611836537,213.90452732051799,323.2084050278136,228.96506672423325,320.1982485099479,245.80317359567212,312.4003680064931,262.60494857260557,300.79495337196823,279.09152097058643,288.4461220406674,291.1508252414655,273.30196980570247,299.01042049169246,259.26578489948366,303.2992547685926,240.60308283077683,307.2867380544104,229.1205154676383,308.9152399691233
labeled-data,orange01-train-2022-05-10-18.15.05,img4000.png,321.305454,186.780914,321.305454,200.0283,323.9518611836537,213.90452732051799,323.2084050278136,228.96506672423325,320.1982485099479,245.80317359567212,312.4003680064931,262.60494857260557,300.79495337196823,279.09152097058643,288.89773081261217,291.60243401341035,273.30196980570247,299.01042049169246,259.26578489948366,303.2992547685926,241.05469160272168,307.73834682635527,230.0237330115279,309.81845751301296
labeled-data,orange01-train-2022-05-10-18.15.05,img4100.png,321.305454,186.780914,321.305454,200.0283,323.41817304038625,214.9488723873091,322.6399760334443,229.34551701573474,319.3054863970155,246.01796519787877,311.35611943278633,262.41888981076664,299.29406582518646,277.98282994960516,283.3410271828769,290.43398206067593,269.3334810579223,296.2704596127404,254.93683642949668,298.6050506335662,235.09281275247753,300.550543150921,224.97625166223253,300.93964165439195
labeled-data,orange01-train-2022-05-10-18.15.05,img4200.png,321.305454,186.780914,321.305454,200.0283,323.3370966481998,213.95014790743596,322.68524642657155,229.1074565774767,319.55319280907895,244.6115444675009,311.84262392386074,261.36214542556377,296.7925397358855,277.8917092157113,281.98903548160575,288.29417166466465,265.58515238902544,293.49540288914125,253.5823111017716,295.2958290822294,232.92596394562122,296.04454888834846,222.2006112066396,296.21886143662033
labeled-data,orange01-train-2022-05-10-18.15.05,img4230.png,321.305454,186.780914,321.305454,200.0283,323.35318228060555,212.2288473149281,323.0663792138809,227.68911034795096,319.02391083770146,244.4325899861182,310.3653679518933,261.0425514964,294.86059887624185,276.50281452942284,279.6203798460009,286.11077870066174,264.0488517064068,289.4238697941924,250.46517822293112,289.4238697941924,226.94223145886343,286.4420878100147,218.6595037250368,284.78554226324945
