scorer,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000,DLC_resnet50_OrSsEnetXi01Jul10shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,183.27,51.648,1.0,181.435,64.226,1.0,183.694,77.142,1.0,183.087,91.246,1.0,182.718,107.761,1.0,183.289,125.109,1.0,182.287,143.927,1.0,181.037,159.576,1.0,182.054,179.321,1.0,182.256,192.933,1.0,180.797,214.006,1.0,181.519,225.009,1.0
1,183.059,51.941,1.0,181.215,64.343,1.0,183.482,77.499,1.0,183.369,91.288,1.0,182.929,108.216,1.0,183.113,125.229,1.0,182.133,144.161,1.0,180.873,159.557,1.0,181.774,179.237,1.0,182.271,192.573,1.0,180.924,213.782,1.0,181.618,224.441,1.0
2,182.838,51.704,1.0,181.078,64.261,1.0,183.363,77.507,1.0,183.118,90.866,1.0,182.798,107.95,1.0,183.323,125.176,1.0,182.178,144.144,1.0,180.606,159.415,1.0,181.304,178.915,1.0,181.925,192.445,1.0,180.635,213.735,1.0,181.14,224.045,1.0
3,182.895,51.665,1.0,181.087,64.24,1.0,183.521,77.371,1.0,183.326,90.797,1.0,182.909,107.804,1.0,183.307,125.125,1.0,182.034,143.871,1.0,180.558,159.347,1.0,181.414,178.81,1.0,181.875,192.258,1.0,180.809,213.779,1.0,181.182,224.427,1.0
4,182.857,51.72,1.0,181.101,64.405,1.0,183.317,77.631,1.0,183.328,91.115,1.0,183.031,108.159,1.0,183.211,125.305,1.0,182.081,144.024,1.0,180.618,159.138,1.0,181.612,178.422,1.0,181.976,191.78,1.0,180.911,213.604,1.0,181.367,224.179,1.0
5,182.941,51.572,1.0,181.132,64.369,1.0,183.34,77.514,1.0,182.915,91.299,1.0,182.906,108.366,1.0,182.9,125.294,1.0,181.924,144.112,1.0,180.452,159.199,1.0,181.512,178.713,1.0,181.904,191.945,1.0,181.059,213.489,1.0,181.354,224.467,1.0
6,182.964,51.604,1.0,181.083,64.314,1.0,183.377,77.405,1.0,182.984,91.122,1.0,182.735,108.063,1.0,183.012,125.265,1.0,182.111,144.188,1.0,180.586,159.261,1.0,181.359,179.059,1.0,181.734,192.307,1.0,181.073,213.671,1.0,181.299,224.651,1.0
