scorer,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000,DLC_resnet50_PkPpEnetCh02Jun24shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,129.444,316.254,1.0,118.476,418.865,1.0,107.042,525.283,0.9990000128746033,103.426,646.351,0.9990000128746033,95.451,777.184,1.0,90.152,898.635,0.9990000128746033,91.999,1020.75,0.9980000257492065,90.286,1130.499,0.9980000257492065,93.222,1250.74,1.0,99.734,1364.06,0.9990000128746033,105.654,1450.754,0.9990000128746033
1,129.716,316.441,0.9990000128746033,119.548,419.572,1.0,106.383,527.667,1.0,103.771,647.486,0.9990000128746033,95.431,779.085,1.0,89.946,899.171,0.9980000257492065,92.054,1020.834,0.9980000257492065,90.286,1130.491,0.9980000257492065,93.388,1250.579,1.0,99.908,1363.758,0.9990000128746033,105.626,1450.723,0.9990000128746033
2,129.663,316.552,0.9990000128746033,119.216,418.906,1.0,106.358,528.045,0.9990000128746033,103.945,647.725,0.9990000128746033,95.315,778.787,1.0,89.929,899.203,0.9980000257492065,92.064,1020.862,0.9980000257492065,90.536,1130.548,0.9980000257492065,93.386,1250.366,1.0,99.929,1363.732,0.9990000128746033,105.603,1450.717,0.9990000128746033
3,129.036,316.536,0.9990000128746033,118.614,418.662,1.0,107.466,526.538,1.0,104.266,646.695,0.9990000128746033,95.25,778.33,1.0,90.03,898.299,0.9990000128746033,92.069,1020.865,0.9980000257492065,90.439,1130.527,0.9980000257492065,93.409,1250.596,1.0,99.979,1363.649,0.9990000128746033,105.588,1450.567,0.9990000128746033
4,127.574,321.573,1.0,118.61,417.949,1.0,107.353,526.255,1.0,103.774,647.313,0.9990000128746033,95.216,778.392,1.0,90.055,898.727,0.9990000128746033,91.981,1020.731,0.9980000257492065,90.393,1130.666,0.9980000257492065,93.304,1250.859,1.0,99.831,1363.802,0.9990000128746033,105.552,1450.627,0.9990000128746033
5,127.649,321.767,1.0,119.181,418.181,1.0,107.335,526.422,1.0,104.537,647.307,0.9990000128746033,96.089,776.903,1.0,89.917,897.202,0.996999979019165,91.902,1020.542,0.9980000257492065,90.179,1130.869,0.9990000128746033,93.317,1250.936,1.0,99.75,1363.92,0.9990000128746033,105.557,1450.665,0.9990000128746033
6,127.836,322.284,1.0,118.711,419.634,1.0,107.228,526.163,1.0,104.712,646.941,1.0,96.135,776.972,1.0,89.887,897.349,0.9980000257492065,91.936,1020.5,0.9980000257492065,90.171,1130.818,0.9990000128746033,93.326,1250.864,1.0,99.741,1363.897,0.9990000128746033,105.587,1450.676,0.9990000128746033
7,129.108,316.82,0.9990000128746033,118.704,420.32,1.0,107.316,526.255,1.0,104.498,647.0,0.9990000128746033,96.309,776.992,1.0,89.937,896.929,0.9990000128746033,91.912,1020.487,0.9980000257492065,90.225,1130.76,0.9990000128746033,93.325,1250.911,1.0,99.756,1363.863,0.9990000128746033,105.591,1450.635,0.9990000128746033
8,128.817,316.668,0.9990000128746033,119.492,418.15,1.0,107.197,526.245,1.0,104.075,650.211,0.9980000257492065,96.598,776.518,1.0,89.938,896.849,0.9990000128746033,91.898,1020.452,0.9980000257492065,90.18,1130.693,0.9990000128746033,93.351,1250.847,1.0,99.792,1363.782,0.9990000128746033,105.586,1450.625,0.9990000128746033
9,129.288,317.122,1.0,118.564,421.213,1.0,107.048,525.617,0.9990000128746033,104.262,649.744,0.9990000128746033,96.328,776.551,1.0,90.835,890.615,0.9980000257492065,91.761,1019.963,0.9980000257492065,90.819,1130.414,0.9990000128746033,93.628,1251.296,1.0,99.592,1364.799,0.9990000128746033,105.851,1450.9,0.9990000128746033
10,129.978,317.145,1.0,119.355,420.12,1.0,107.006,525.828,0.9990000128746033,104.885,646.981,1.0,96.271,776.616,1.0,90.99,890.955,0.9990000128746033,91.699,1020.053,0.9980000257492065,90.703,1130.649,0.9990000128746033,93.52,1251.037,1.0,99.722,1364.845,0.9990000128746033,106.128,1450.847,0.9990000128746033
11,130.108,317.218,1.0,119.641,421.296,1.0,107.328,526.092,0.9990000128746033,105.078,646.094,1.0,96.142,776.977,1.0,90.927,890.983,0.9980000257492065,91.572,1019.906,0.9990000128746033,90.651,1130.65,0.9990000128746033,93.517,1250.983,1.0,99.778,1365.036,0.9990000128746033,106.15,1450.949,0.9990000128746033
12,130.092,317.297,1.0,119.343,419.447,1.0,107.247,525.673,0.9990000128746033,105.264,645.962,1.0,96.263,777.078,1.0,90.836,890.921,0.9980000257492065,91.56,1019.867,0.9990000128746033,90.611,1130.818,0.9990000128746033,93.522,1251.264,1.0,99.63,1366.184,1.0,106.063,1450.759,0.9990000128746033
13,130.143,317.356,1.0,118.709,421.559,1.0,107.213,525.73,0.9990000128746033,104.398,648.505,0.9990000128746033,96.279,776.893,1.0,90.473,890.458,0.9980000257492065,91.434,1019.656,0.9990000128746033,90.577,1130.861,0.9990000128746033,93.46,1251.201,1.0,99.644,1365.943,1.0,106.121,1450.934,0.9990000128746033
14,129.306,321.954,1.0,118.907,424.485,1.0,107.413,526.012,1.0,104.69,648.195,1.0,96.139,776.936,1.0,90.587,890.744,0.9980000257492065,91.432,1019.615,0.9990000128746033,90.596,1130.758,0.9990000128746033,93.454,1251.273,1.0,99.739,1365.595,1.0,106.115,1450.896,0.9990000128746033
15,131.772,317.395,1.0,120.808,426.82,0.9990000128746033,107.403,526.349,1.0,105.433,648.717,0.996999979019165,96.122,776.867,1.0,90.722,890.928,0.9980000257492065,91.423,1019.621,0.9990000128746033,90.661,1130.731,0.9990000128746033,93.453,1251.39,1.0,99.628,1365.792,1.0,106.133,1450.822,0.9990000128746033
