scorer,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000,DLC_mobnet_100_PkPpEnetCh02Jun24shuffle1_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,139.849,324.087,0.9940000176429749,123.68,420.067,0.9959999918937683,115.56,523.829,0.9990000128746033,107.823,651.84,0.9089999794960022,99.573,763.703,0.9980000257492065,99.964,915.92,0.9319999814033508,92.367,1012.328,0.996999979019165,99.88,1116.127,0.9950000047683716,99.511,1235.565,0.9980000257492065,106.206,1363.778,0.996999979019165,107.719,1436.46,0.9860000014305115
1,139.859,324.106,0.9860000014305115,123.68,420.156,0.9959999918937683,115.564,523.993,0.9980000257492065,107.899,651.81,0.9810000061988831,99.553,763.707,0.9980000257492065,100.075,915.832,0.9440000057220459,92.363,1012.342,0.996999979019165,99.976,1116.152,0.9940000176429749,99.786,1236.104,0.9990000128746033,106.241,1363.779,0.9980000257492065,107.746,1436.46,0.9860000014305115
2,132.125,323.881,0.9950000047683716,123.654,420.051,0.996999979019165,115.618,523.908,0.9980000257492065,107.87,651.775,0.9779999852180481,100.069,764.236,0.9990000128746033,100.637,860.352,0.9900000095367432,99.355,1019.787,0.9940000176429749,99.745,1116.054,0.9959999918937683,99.503,1243.899,0.9959999918937683,106.31,1363.783,0.9980000257492065,107.734,1436.482,0.9860000014305115
3,132.085,316.177,0.9909999966621399,123.664,420.007,0.9959999918937683,115.403,523.85,0.9980000257492065,107.892,651.796,0.9819999933242798,99.54,771.109,0.9990000128746033,100.162,883.815,0.9909999966621399,99.355,1019.797,0.9929999709129333,99.816,1116.066,0.9959999918937683,99.349,1243.829,0.9959999918937683,106.356,1363.812,0.9980000257492065,107.73,1436.499,0.9860000014305115
4,132.186,323.954,0.996999979019165,123.65,420.108,0.996999979019165,115.507,523.688,0.9980000257492065,107.864,659.711,0.9599999785423279,99.659,771.309,0.9990000128746033,100.598,876.328,0.9940000176429749,99.176,1012.397,0.9990000128746033,99.469,1123.897,0.9980000257492065,99.327,1243.926,0.9959999918937683,106.241,1363.79,0.996999979019165,107.564,1443.978,0.9980000257492065
5,132.182,324.083,0.9980000257492065,123.667,420.159,0.996999979019165,115.641,523.681,0.9990000128746033,107.916,660.141,0.9869999885559082,99.566,771.502,0.9990000128746033,100.489,876.299,0.9909999966621399,99.074,1012.392,0.9990000128746033,99.357,1123.833,0.9980000257492065,99.329,1243.938,0.9959999918937683,106.322,1363.833,0.9980000257492065,107.63,1443.954,0.9980000257492065
6,132.244,323.996,0.996999979019165,123.682,420.117,0.996999979019165,115.561,523.6,0.9990000128746033,107.914,660.141,0.9879999756813049,99.473,771.678,0.9990000128746033,100.456,876.366,0.9929999709129333,99.073,1012.357,0.9980000257492065,99.376,1123.819,0.9980000257492065,99.285,1243.939,0.9959999918937683,106.321,1363.845,0.9980000257492065,107.64,1443.888,0.9980000257492065
7,139.892,324.053,0.9959999918937683,123.649,420.07,0.996999979019165,115.568,523.592,0.9990000128746033,107.868,660.068,0.9789999723434448,99.571,771.385,0.9980000257492065,100.348,876.376,0.9929999709129333,99.082,1012.404,0.9980000257492065,99.331,1123.828,0.9980000257492065,99.281,1243.89,0.9959999918937683,106.348,1363.86,0.9980000257492065,107.624,1443.832,0.996999979019165
8,132.161,316.157,0.9890000224113464,123.651,420.072,0.996999979019165,115.494,523.576,0.9990000128746033,107.858,659.999,0.968999981880188,99.664,771.648,0.9990000128746033,100.24,876.369,0.9940000176429749,99.199,1012.547,0.9990000128746033,99.44,1123.925,0.9980000257492065,99.235,1251.495,0.9990000128746033,106.29,1363.822,0.9980000257492065,107.777,1436.499,0.9860000014305115
9,132.095,316.201,0.9909999966621399,123.693,420.134,0.996999979019165,115.479,523.5,0.9980000257492065,107.831,659.996,0.9700000286102295,99.435,771.826,0.9980000257492065,99.994,876.273,0.9959999918937683,99.113,1012.561,0.9980000257492065,99.156,1124.044,0.9990000128746033,99.149,1251.61,0.9980000257492065,106.505,1355.816,0.9900000095367432,107.788,1436.469,0.9860000014305115
10,139.866,323.995,0.9909999966621399,123.702,420.155,0.9959999918937683,115.565,523.481,0.9990000128746033,107.842,660.123,0.9679999947547913,99.509,771.67,0.9990000128746033,100.07,876.321,0.9959999918937683,99.162,1012.669,0.9990000128746033,99.132,1124.14,0.9990000128746033,99.255,1251.598,0.9990000128746033,106.535,1355.809,0.9909999966621399,107.852,1436.43,0.9860000014305115
11,139.863,324.049,0.9940000176429749,123.697,420.144,0.996999979019165,115.475,516.352,1.0,107.773,659.826,0.9819999933242798,99.695,771.602,0.9980000257492065,100.037,868.252,0.9980000257492065,99.183,1012.295,0.9990000128746033,99.12,1124.189,0.9990000128746033,99.223,1251.557,0.9980000257492065,106.68,1355.792,0.9909999966621399,107.874,1436.441,0.9860000014305115
12,139.9,324.06,0.9940000176429749,123.691,420.069,0.996999979019165,115.506,523.456,0.9990000128746033,107.748,659.782,0.9800000190734863,99.984,764.226,0.9980000257492065,100.085,868.269,0.9980000257492065,99.206,1012.478,0.9990000128746033,99.153,1124.171,0.9980000257492065,99.062,1251.439,0.9980000257492065,106.531,1363.662,0.9980000257492065,107.892,1436.424,0.9860000014305115
