scorer,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000,DLC_effnet_b6_PkPpEnetCh02Jun24shuffle3_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,139.872,307.536,1.0,127.54,426.301,1.0,117.535,537.405,1.0,107.766,664.381,1.0,97.339,792.414,1.0,102.141,892.949,1.0,99.43,1005.509,1.0,102.222,1117.072,1.0,99.669,1243.227,1.0,106.375,1367.146,1.0,114.533,1458.46,1.0
1,139.837,307.714,1.0,128.023,424.281,1.0,117.977,536.454,1.0,110.403,661.129,1.0,103.062,794.749,1.0,101.914,892.882,1.0,99.564,1005.494,1.0,102.225,1117.007,1.0,101.223,1243.867,1.0,106.308,1366.984,1.0,114.401,1458.698,1.0
2,139.794,308.174,1.0,127.074,424.866,1.0,118.047,536.525,1.0,107.208,666.335,1.0,103.171,794.665,1.0,101.14,893.571,1.0,99.556,1005.527,1.0,101.672,1116.76,1.0,101.496,1243.867,1.0,106.279,1366.964,1.0,114.395,1459.405,1.0
3,139.545,307.872,1.0,126.672,425.096,1.0,117.336,537.741,1.0,111.006,659.979,1.0,102.645,794.745,1.0,101.353,892.838,1.0,99.522,1005.514,1.0,101.598,1116.865,1.0,101.358,1244.037,1.0,106.334,1366.929,1.0,114.351,1459.374,1.0
4,139.445,308.13,1.0,126.399,425.216,1.0,117.438,537.396,1.0,107.186,665.533,1.0,102.588,794.806,1.0,100.678,893.792,1.0,99.326,1005.513,1.0,101.42,1116.698,1.0,101.276,1244.149,1.0,106.106,1366.848,1.0,114.369,1459.271,1.0
5,139.622,308.523,1.0,126.335,425.178,1.0,117.304,537.45,1.0,111.223,660.52,1.0,102.219,794.399,1.0,100.53,894.302,1.0,99.477,1005.653,1.0,101.47,1116.711,1.0,101.105,1244.134,1.0,106.26,1366.683,1.0,114.328,1458.913,1.0
6,139.656,308.133,1.0,126.147,423.335,1.0,117.895,536.31,1.0,111.235,660.553,1.0,102.593,794.572,1.0,99.939,894.608,1.0,99.491,1005.674,1.0,101.435,1116.731,1.0,101.139,1244.073,1.0,106.269,1366.668,1.0,114.362,1458.825,1.0
7,139.64,307.482,1.0,126.276,423.355,1.0,118.054,534.629,1.0,111.309,660.422,1.0,102.209,794.11,1.0,100.025,894.363,1.0,99.454,1005.667,1.0,101.455,1116.79,1.0,101.124,1244.106,1.0,106.287,1366.676,1.0,114.379,1458.614,1.0
8,139.713,307.532,1.0,126.26,423.93,1.0,118.151,533.715,1.0,107.762,665.06,1.0,102.319,794.236,1.0,100.194,894.324,1.0,99.435,1005.682,1.0,101.544,1116.832,1.0,101.328,1244.176,1.0,106.344,1366.715,1.0,114.437,1458.676,1.0
9,139.596,307.77,1.0,126.462,424.486,1.0,117.167,536.26,1.0,107.555,664.199,1.0,104.287,790.829,1.0,100.651,894.191,1.0,99.643,1005.742,1.0,101.905,1116.527,1.0,101.402,1244.429,1.0,106.625,1366.669,1.0,114.617,1458.858,1.0
10,139.493,307.534,1.0,126.367,421.771,1.0,118.685,534.227,1.0,107.993,664.644,1.0,102.734,788.84,1.0,100.707,893.991,1.0,99.704,1005.714,1.0,102.041,1116.472,1.0,101.569,1244.548,1.0,107.106,1366.552,1.0,114.783,1459.085,1.0
11,139.739,308.009,1.0,126.45,420.909,1.0,118.962,533.643,1.0,111.56,660.64,1.0,102.624,789.62,1.0,100.621,893.515,1.0,98.362,1008.146,1.0,102.015,1116.456,1.0,101.623,1244.661,1.0,107.196,1366.654,1.0,114.978,1458.917,1.0
12,139.579,308.701,1.0,126.173,420.426,1.0,118.482,534.709,1.0,107.818,664.513,1.0,102.496,786.599,1.0,100.82,893.343,1.0,98.366,1008.407,1.0,101.899,1116.85,1.0,101.597,1244.689,1.0,107.326,1366.727,1.0,114.912,1458.793,1.0
13,139.537,308.968,1.0,126.178,420.162,1.0,119.244,533.581,1.0,107.615,663.663,1.0,101.754,784.512,1.0,100.571,893.358,1.0,98.151,1008.209,1.0,101.846,1116.75,1.0,101.496,1244.744,1.0,107.32,1366.73,1.0,114.6,1459.808,1.0
14,139.678,309.105,1.0,126.298,421.764,1.0,119.241,533.258,1.0,107.474,663.444,1.0,101.688,785.731,1.0,99.238,892.947,1.0,98.446,1009.648,1.0,101.74,1116.551,1.0,101.412,1244.928,1.0,107.422,1366.766,1.0,114.737,1458.65,1.0
15,139.876,309.323,1.0,126.84,422.571,1.0,119.212,531.853,1.0,110.397,662.468,1.0,102.277,787.539,1.0,98.892,892.657,1.0,98.44,1009.8,1.0,101.797,1116.486,1.0,101.419,1244.921,1.0,107.516,1366.81,1.0,114.86,1459.386,1.0
16,139.696,308.994,1.0,127.052,421.823,1.0,119.088,530.463,1.0,111.055,661.775,1.0,101.611,793.909,1.0,99.128,893.102,1.0,98.441,1009.782,1.0,101.661,1116.992,1.0,101.399,1244.903,1.0,107.672,1366.615,1.0,114.589,1460.147,1.0
17,139.699,309.403,1.0,127.31,419.725,1.0,118.687,528.635,1.0,107.502,663.58,1.0,102.4,788.443,1.0,99.107,892.858,1.0,98.569,1010.194,1.0,101.625,1117.096,1.0,101.428,1244.75,1.0,108.087,1365.762,1.0,114.668,1458.985,1.0
18,139.649,309.296,1.0,126.785,420.987,1.0,118.684,530.964,1.0,110.463,662.441,1.0,101.613,793.825,1.0,98.991,893.051,1.0,98.396,1009.607,1.0,101.609,1117.089,1.0,101.28,1244.87,1.0,107.823,1366.02,1.0,114.689,1458.791,1.0
