scorer,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen,Chen
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart10,bodypart10,bodypart11,bodypart11,bodypart12,bodypart12,bodypart2,bodypart2,bodypart3,bodypart3,bodypart4,bodypart4,bodypart5,bodypart5,bodypart6,bodypart6,bodypart7,bodypart7,bodypart8,bodypart8,bodypart9,bodypart9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
0,1.9399256585685634,1.0,2.767057694541039,1.0,0.39778921150334684,1.0,0.545174289060123,1.0,1.2631100952893193,1.0,1.4118995826978207,1.0,2.417529865345944,1.0,2.93443880693543,1.0,5.413094691421809,1.0,2.4678279560434704,1.0,1.737163229986457,1.0,1.4412378993647932,1.0
1,1.5551276205259605,1.0,3.028284486812938,1.0,1.2198717339301286,1.0,2.5021012067203863,1.0,1.5382772647472158,1.0,2.9236617688596476,1.0,2.0454889947628625,1.0,3.0880070742866694,1.0,4.591938067080548,1.0,2.8718155719277965,1.0,1.3202271681442994,1.0,1.562047172519564,1.0
2,1.842317149785993,1.0,2.6426756930344903,1.0,1.3260617746523569,1.0,2.4282265712022775,1.0,1.6642511675200864,1.0,2.6578443548174358,1.0,1.8122221665199285,1.0,3.04372147415437,1.0,2.1804598576663436,1.0,2.525033879857745,1.0,1.4101596470775446,1.0,1.3279162026004572,1.0
3,1.4872598531770271,1.0,3.0992458358043042,1.0,1.5773637423744193,1.0,2.9097254231438994,1.0,1.3036522783989828,1.0,2.951347929898089,1.0,2.1712632843310695,1.0,2.9822456640767574,1.0,2.458996402352316,1.0,2.44832065569472,1.0,1.371372958187026,1.0,0.9301858285683127,1.0
4,1.5953595670442182,1.0,2.4616875683910417,1.0,1.3427701259993001,1.0,3.660569942352627,1.0,1.5061618639554848,1.0,2.1831441148419284,1.0,2.535310317947011,1.0,1.8637401334771873,1.0,3.5047523216339296,1.0,1.9462061623895115,1.0,1.4514236732685355,1.0,0.8035952754028027,1.0
5,1.9830220336487907,1.0,1.6577104417049975,1.0,1.8023929609930909,1.0,2.967128463652857,1.0,2.029599488247282,1.0,2.658347723494283,1.0,2.578412223474293,1.0,4.3864680307082535,1.0,2.3165979237196606,1.0,1.6044302087761406,1.0,1.2495548331142532,1.0,1.2752849236072397,1.0
6,2.245347858163809,1.0,2.103772764687615,1.0,0.5860783708831467,1.0,2.7798419420405627,1.0,1.9340303456867391,1.0,2.3193887546021412,1.0,2.992197994004421,1.0,4.311180205041269,1.0,1.8264966575307424,1.0,2.064371554453336,1.0,1.0110946491911588,1.0,1.8958724312319293,1.0
7,1.826971133592473,1.0,3.5123803885135043,1.0,1.547140649079319,1.0,2.517480412541743,1.0,1.6888994902984222,1.0,2.667860009753991,1.0,3.2181838373068308,1.0,4.250360970988937,1.0,1.112277809513962,1.0,1.2686705636653923,1.0,2.316292732405558,1.0,2.029730112230397,1.0
8,1.9919699742420147,1.0,3.768762900866653,1.0,1.680895019472553,1.0,1.7457042414235393,1.0,1.3122886631279054,1.0,2.727602918274473,1.0,2.685314019374224,1.0,4.117471191560345,1.0,1.618845871879457,1.0,1.663970953013798,1.0,0.8291190274739201,1.0,3.3130246279272204,1.0
9,1.520241721321739,1.0,3.325351285472436,1.0,3.6082214980299976,1.0,1.4334970870552382,1.0,1.865455952972274,1.0,2.6707628296826518,1.0,3.3098159549775508,1.0,4.251695522121651,1.0,2.775546435545041,1.0,1.7934939576504088,1.0,0.4990938553503441,1.0,1.2437091591684655,1.0
10,1.1007234271300574,1.0,2.1970498127076095,1.0,2.475784555064203,1.0,3.2551348580279584,1.0,1.1757207068403117,1.0,2.2107779064499,1.0,2.9217276569899986,1.0,3.024331975544929,1.0,1.7795019875209517,1.0,0.7440551920350581,1.0,0.17234494678579027,1.0,0.8374716251339618,1.0
11,2.012547094953892,1.0,0.7303656208433238,1.0,1.3296930820485329,1.0,3.2590522833757554,1.0,1.8409571167708934,1.0,2.010602044180779,1.0,3.358995206907254,1.0,3.447362102352087,1.0,2.2033093221571742,1.0,1.6903649897326847,1.0,1.275865509414987,1.0,3.542333010540257,1.0
12,1.3127575798439461,1.0,3.0876962368458707,1.0,0.6177719735722736,1.0,0.4232369325167097,1.0,0.9552244831989629,1.0,2.544051044057273,1.0,2.2381245750090457,1.0,2.5229592989041625,1.0,1.0534159396340492,1.0,2.091462114513216,1.0,1.5047603292741851,1.0,2.827045300780633,1.0
13,1.6815634539617872,1.0,3.0854362443236796,1.0,1.4653932712476172,1.0,1.5142518309584745,1.0,1.1242917349136945,1.0,2.0828091239583615,1.0,2.648420280646345,1.0,3.506746849906494,1.0,1.5650712837423182,1.0,2.966741744082848,1.0,3.392475640120441,1.0,3.3843362186408754,1.0
14,1.1205664555659092,1.0,2.4399297677108303,1.0,1.2063202063395266,1.0,1.142112788347492,1.0,0.8775396772119002,1.0,1.2356934823643575,1.0,2.6851494464535293,1.0,2.8197559832917243,1.0,3.1741252237171147,1.0,4.4132072308792765,1.0,2.7202702131189347,1.0,1.5161814689473323,1.0
15,1.436932164417218,1.0,2.411104945671189,1.0,1.8870615164156992,1.0,2.6944140793416174,1.0,1.6342021415583814,1.0,2.33968897242697,1.0,1.305548906238208,1.0,2.7814491001783512,1.0,2.8700300695439993,1.0,1.2922412355876667,1.0,0.23786774082532824,1.0,3.0657497904488697,1.0
