scorer,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000,DLC_resnet50_YlSsEnetCh01Jul8shuffle0_40000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,185.052,50.937,1.0,184.94,61.097,1.0,185.137,72.35,1.0,185.045,87.509,1.0,186.065,104.375,1.0,184.223,123.84,1.0,184.139,141.729,1.0,181.389,160.491,1.0,181.077,180.032,1.0,180.424,199.589,1.0,176.458,214.799,1.0,176.793,225.859,1.0
1,184.849,51.252,1.0,184.774,61.646,1.0,185.311,73.106,1.0,185.595,88.17,1.0,186.145,105.621,1.0,186.722,124.175,1.0,183.972,142.421,1.0,181.584,161.16,1.0,180.563,180.517,1.0,180.685,199.874,1.0,177.123,214.974,1.0,176.92,225.894,1.0
2,184.986,51.217,1.0,184.654,61.638,1.0,185.114,73.058,1.0,185.823,86.891,1.0,185.983,105.918,1.0,186.766,124.035,1.0,183.717,142.225,1.0,181.467,160.834,1.0,180.598,179.654,1.0,181.039,199.412,1.0,177.135,215.07,1.0,176.947,226.159,1.0
3,185.052,51.222,1.0,184.781,61.388,1.0,185.083,72.899,1.0,185.898,87.583,1.0,186.013,104.809,1.0,186.878,123.022,1.0,184.126,141.806,1.0,181.656,160.817,1.0,180.54,179.627,1.0,180.625,199.454,1.0,176.582,214.693,1.0,176.502,225.954,1.0
4,185.033,51.368,1.0,184.795,61.511,1.0,185.061,72.971,1.0,185.99,87.749,1.0,186.05,104.957,1.0,186.88,123.126,1.0,184.212,141.992,1.0,181.909,160.94,1.0,180.725,180.541,1.0,180.85,199.98,1.0,177.007,215.009,1.0,176.577,226.13,1.0
5,184.96,51.535,1.0,184.666,61.756,1.0,185.219,73.333,1.0,186.191,88.111,1.0,185.802,105.543,1.0,186.671,123.607,1.0,183.581,142.521,1.0,181.875,161.359,1.0,180.922,180.674,1.0,181.228,199.973,1.0,176.95,215.111,1.0,176.561,226.163,1.0
6,184.889,51.238,1.0,184.604,61.376,1.0,184.851,72.914,1.0,185.941,87.828,1.0,185.564,105.49,1.0,186.662,123.625,1.0,183.627,142.808,1.0,181.99,161.603,1.0,180.949,181.085,1.0,181.318,200.21,1.0,177.052,215.047,1.0,176.522,225.733,1.0
